       x:             u(x):          v(x):  
     0.10000000     0.53212510     0.24928112
     0.20000000     0.66467380    -0.13068280
     0.30000000     0.65022655     0.14741976
     0.40000000     0.58170252    -0.11436966
     0.50000000     0.49328475    0.099635190
     0.60000000     0.39754849   -0.078162777
     0.70000000     0.29911990    0.059169115
     0.80000000     0.19970086   -0.039263572
     0.90000000    0.099917450    0.019693491
